"",cancer,gene,cutoff_value
1,GBM,ACAN,6.65347039243473
2,OV,ACAN,3.76053911111103
3,LUAD,ACAN,5.06590943032632
4,LUSC,ACAN,5.09369846389928
5,PRAD,ACAN,5.27344794361618
6,UCEC,ACAN,4.98011902412448
7,BLCA,ACAN,5.72087477226957
8,TGCT,ACAN,8.54385361276014
9,ESCA,ACAN,6.03991029448005
10,PAAD,ACAN,5.30080178855503
11,KIRP,ACAN,6.22171853838171
12,LIHC,ACAN,3.07301465588206
13,CESC,ACAN,4.8094120617643
14,SARC,ACAN,8.68125166859125
15,BRCA,ACAN,6.64789997222386
16,THYM,ACAN,3.37999902228897
17,MESO,ACAN,4.57897685144853
18,COAD,ACAN,5.90117578234647
19,STAD,ACAN,6.16361302840234
20,SKCM,ACAN,8.29362760058202
21,CHOL,ACAN,3.77618243180243
22,KIRC,ACAN,8.94349187253972
23,THCA,ACAN,4.80102667410246
24,HNSC,ACAN,5.52235066346745
25,LAML,ACAN,1.39261316662233
26,READ,ACAN,6.7413782259473
27,LGG,ACAN,6.27582476792393
28,DLBC,ACAN,3.52475331277249
29,KICH,ACAN,6.21637420920877
30,UCS,ACAN,8.13750417782904
31,ACC,ACAN,6.45529519024786
32,PCPG,ACAN,5.95890423377479
33,UVM,ACAN,4.87659757443189
34,GBM,AGRN,11.306217267132
35,OV,AGRN,12.8684391453829
36,LUAD,AGRN,12.0065546526681
37,LUSC,AGRN,12.7616395615108
38,BLCA,AGRN,12.2788387717756
39,TGCT,AGRN,11.0247886127738
40,ESCA,AGRN,12.2095540477815
41,PAAD,AGRN,12.3569591412625
42,LIHC,AGRN,12.6930499125227
43,CESC,AGRN,12.251385794027
44,SARC,AGRN,11.6578627781058
45,BRCA,AGRN,11.3173769156058
46,THYM,AGRN,12.2517551388992
47,MESO,AGRN,13.0273485569153
48,STAD,AGRN,12.2881605578687
49,SKCM,AGRN,11.4678268348562
50,CHOL,AGRN,13.5202014619504
51,HNSC,AGRN,13.04004796911
52,LAML,AGRN,9.81611092403969
53,UCS,AGRN,11.8674080595014
54,ACC,AGRN,10.9763138062276
55,PCPG,AGRN,11.0087939188362
56,GBM,ASPN,8.9710355691661
57,OV,ASPN,4.60725070748889
58,LUAD,ASPN,8.74000261232725
59,LUSC,ASPN,8.04640945835909
60,PRAD,ASPN,7.44752790562482
61,UCEC,ASPN,6.64519624696039
62,BLCA,ASPN,7.18609024461477
63,TGCT,ASPN,7.06038411255489
64,ESCA,ASPN,7.51446734347748
65,PAAD,ASPN,8.69206598146962
66,KIRP,ASPN,4.97839219730946
67,LIHC,ASPN,7.03729215267383
68,CESC,ASPN,6.46331922691684
69,SARC,ASPN,9.02827001076084
70,BRCA,ASPN,10.3020392904069
71,THYM,ASPN,4.91340656265749
72,MESO,ASPN,8.42518411357541
73,COAD,ASPN,6.26685187844898
74,STAD,ASPN,8.23777398270919
75,SKCM,ASPN,6.17724265321856
76,CHOL,ASPN,7.92397892842356
77,KIRC,ASPN,6.9743410244929
78,THCA,ASPN,7.59047977565388
79,HNSC,ASPN,9.11206319534098
