"",tcga code,name
1,ACC,ACAN
2,ACC,AGRN
3,ACC,ASPN
4,ACC,BCAN
5,ACC,BGN
6,ACC,CHAD
7,ACC,COL15A1
8,ACC,COL18A1
9,ACC,CSPG4
10,ACC,DCN
11,ACC,ECM2
12,ACC,EPYC
13,ACC,FMOD
14,ACC,GPC1
15,ACC,GPC2
16,ACC,GPC3
17,ACC,GPC4
18,ACC,GPC5
19,ACC,GPC6
20,ACC,HSPG2
21,ACC,KERA
22,ACC,LUM
23,ACC,NCAN
24,ACC,OGN
25,ACC,OMD
26,ACC,PODN
27,ACC,PODNL1
28,ACC,PRELP
29,ACC,PTPRZ1
30,ACC,SDC1
31,ACC,SDC2
32,ACC,SDC3
33,ACC,SDC4
34,ACC,SPOCK1
35,ACC,SPOCK2
36,ACC,SPOCK3
37,ACC,SRGN
38,ACC,TGFBR3
39,ACC,TSKU
40,ACC,VCAN
41,BLCA,ACAN
42,BLCA,AGRN
43,BLCA,ASPN
44,BLCA,BCAN
45,BLCA,BGN
46,BLCA,CHAD
47,BLCA,COL15A1
48,BLCA,COL18A1
49,BLCA,CSPG4
50,BLCA,DCN
51,BLCA,ECM2
52,BLCA,EPYC
53,BLCA,FMOD
54,BLCA,GPC1
55,BLCA,GPC2
56,BLCA,GPC3
57,BLCA,GPC4
58,BLCA,GPC6
59,BLCA,HSPG2
60,BLCA,KERA
61,BLCA,LUM
62,BLCA,NCAN
63,BLCA,OGN
64,BLCA,OMD
65,BLCA,PODN
66,BLCA,PODNL1
67,BLCA,PRELP
68,BLCA,PTPRZ1
69,BLCA,SDC1
70,BLCA,SDC2
71,BLCA,SDC3
72,BLCA,SDC4
73,BLCA,SPOCK1
74,BLCA,SPOCK2
75,BLCA,SPOCK3
76,BLCA,SRGN
77,BLCA,TGFBR3
78,BLCA,TSKU
79,BLCA,VCAN
80,BRCA,ACAN
81,BRCA,AGRN
82,BRCA,ASPN
83,BRCA,BCAN
84,BRCA,BGN
85,BRCA,CHAD
86,BRCA,COL15A1
87,BRCA,COL18A1
88,BRCA,CSPG4
89,BRCA,DCN
90,BRCA,ECM2
91,BRCA,EPYC
92,BRCA,FMOD
93,BRCA,GPC1
94,BRCA,GPC2
95,BRCA,GPC3
96,BRCA,GPC4
97,BRCA,GPC5
98,BRCA,GPC6
99,BRCA,HSPG2
100,BRCA,KERA
101,BRCA,LUM
102,BRCA,NCAN
103,BRCA,OGN
